State,Division,Date,Value
North_Dakota,West_North_Central,2022-09,321.0
South_Dakota,West_North_Central,2022-09,743.0
Delaware,South_Atlantic,2022-09,405.0
District_of_Columbia,South_Atlantic,2022-09,986.0
Florida,South_Atlantic,2022-09,17199.0
Georgia,South_Atlantic,2022-09,5908.0
Maryland,South_Atlantic,2022-09,1653.0
North_Carolina,South_Atlantic,2022-09,6943.0
South_Carolina,South_Atlantic,2022-09,3204.0
Virginia,South_Atlantic,2022-09,2883.0
West_Virginia,South_Atlantic,2022-09,209.0
Alabama,East_South_Central,2022-09,1717.0
Kentucky,East_South_Central,2022-09,1198.0
Mississippi,East_South_Central,2022-09,621.0
Tennessee,East_South_Central,2022-09,3367.0
Arkansas,West_South_Central,2022-09,1001.0
Louisiana,West_South_Central,2022-09,1172.0
Oklahoma,West_South_Central,2022-09,921.0
Texas,West_South_Central,2022-09,19444.0
Arizona,Mountain,2022-09,4020.0
Colorado,Mountain,2022-09,3671.0
Idaho,Mountain,2022-09,1128.0
Montana,Mountain,2022-09,512.0
Nevada,Mountain,2022-09,1659.0
New_Mexico,Mountain,2022-09,644.0
Utah,Mountain,2022-09,2232.0
Wyoming,Mountain,2022-09,187.0
Alaska,Pacific,2022-09,131.0
California,Pacific,2022-09,10242.0
Hawaii,Pacific,2022-09,479.0
Oregon,Pacific,2022-09,2335.0
Washington,Pacific,2022-09,3327.0
Connecticut,New_England,2022-08,396.0
Maine,New_England,2022-08,564.0
Massachusetts,New_England,2022-08,1083.0
New_Hampshire,New_England,2022-08,498.0
Rhode_Island,New_England,2022-08,123.0
Vermont,New_England,2022-08,174.0
New_Jersey,Middle_Atlantic,2022-08,2389.0
New_York,Middle_Atlantic,2022-08,4255.0
Pennsylvania,Middle_Atlantic,2022-08,1935.0
Illinois,East_North_Central,2022-08,1720.0
Indiana,East_North_Central,2022-08,2207.0
Michigan,East_North_Central,2022-08,2446.0
Ohio,East_North_Central,2022-08,2767.0
Wisconsin,East_North_Central,2022-08,1922.0
Iowa,West_North_Central,2022-08,1263.0
Kansas,West_North_Central,2022-08,704.0
Minnesota,West_North_Central,2022-08,2725.0
Missouri,West_North_Central,2022-08,2156.0
Nebraska,West_North_Central,2022-08,670.0
North_Dakota,West_North_Central,2022-08,285.0
